Season,Lg,ORtg,DRtg,Playoffs,id,Tm,W,L,Finish,Age,Ht.,Wt.,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2024-25,NBA,114.6,115.7,No,0,ATL,40.0,42.0,2.0,24.9,6-6,209.0,82.0,241.2,43.4,91.8,0.472,13.5,37.7,0.358,29.9,54.1,0.552,18.0,23.2,0.775,11.9,32.6,44.5,29.6,9.7,5.1,15.5,19.1,118.2
2023-24,NBA,117.2,119.4,No,1,ATL,36.0,46.0,3.0,26.2,6-6,211.0,82.0,242.1,43.0,92.5,0.465,13.7,37.7,0.364,29.3,54.8,0.535,18.5,23.2,0.797,12.5,32.2,44.7,26.6,7.5,4.5,13.5,18.6,118.3
2022-23,NBA,116.6,116.3,Yes,2,ATL,41.0,41.0,2.0,24.9,6-6,210.0,82.0,242.1,44.6,92.4,0.483,10.8,30.5,0.352,33.9,61.8,0.548,18.5,22.6,0.818,11.2,33.2,44.4,25.0,7.1,4.9,12.9,18.8,118.4
2021-22,NBA,116.5,114.9,Yes,3,ATL,43.0,39.0,2.0,26.1,6-6,211.0,82.0,240.3,41.5,88.3,0.47,12.9,34.4,0.374,28.6,53.9,0.531,18.1,22.3,0.812,10.0,33.9,44.0,24.6,7.2,4.2,11.9,18.7,113.9
2020-21,NBA,115.7,113.3,Yes,4,ATL,41.0,31.0,1.0,25.4,6-6,212.0,72.0,241.7,40.8,87.2,0.468,12.4,33.4,0.373,28.4,53.9,0.526,19.7,24.2,0.812,10.6,35.1,45.6,24.1,7.0,4.8,13.2,19.3,113.7
2019-20,NBA,107.2,114.8,No,5,ATL,20.0,47.0,5.0,24.1,6-6,213.0,67.0,243.0,40.6,90.6,0.449,12.0,36.1,0.333,28.6,54.5,0.525,18.5,23.4,0.79,9.9,33.4,43.3,24.0,7.8,5.1,16.2,23.1,111.8
2018-19,NBA,108.1,113.9,No,6,ATL,29.0,53.0,5.0,25.1,6-6,213.0,82.0,242.1,41.4,91.8,0.451,13.0,37.0,0.352,28.4,54.8,0.518,17.6,23.4,0.752,11.6,34.5,46.1,25.8,8.2,5.1,17.0,23.6,113.3
2017-18,NBA,105.0,110.6,No,7,ATL,24.0,58.0,5.0,25.4,6-6,212.0,82.0,240.3,38.2,85.5,0.446,11.2,31.0,0.36,27.0,54.5,0.495,15.8,20.2,0.785,9.1,32.8,41.9,23.7,7.8,4.2,15.5,19.6,103.4
2016-17,NBA,104.9,105.7,Yes,8,ATL,43.0,39.0,2.0,27.9,6-6,219.0,82.0,242.4,38.1,84.4,0.451,8.9,26.1,0.341,29.2,58.3,0.501,18.1,24.9,0.728,10.3,34.1,44.3,23.6,8.2,4.8,15.8,18.2,103.2
2015-16,NBA,105.1,101.4,Yes,9,ATL,48.0,34.0,2.0,28.2,6-6,217.0,82.0,241.8,38.6,84.4,0.458,9.9,28.4,0.35,28.7,56.1,0.512,15.6,20.0,0.783,8.3,33.8,42.1,25.6,9.1,5.9,15.0,19.1,102.8
2014-15,NBA,108.9,103.1,Yes,10,ATL,60.0,22.0,1.0,27.8,6-6,218.0,82.0,240.6,38.1,81.7,0.466,10.0,26.2,0.38,28.1,55.5,0.506,16.5,21.2,0.778,8.7,31.8,40.6,25.7,9.1,4.6,14.2,17.8,102.5
2013-14,NBA,105.9,106.4,Yes,11,ATL,38.0,44.0,4.0,27.6,6-6,220.0,82.0,241.8,37.3,81.6,0.458,9.4,25.8,0.363,28.0,55.8,0.502,17.0,21.7,0.781,8.7,31.3,40.0,24.9,8.3,4.0,15.3,19.2,101.0
2012-13,NBA,104.8,104.4,Yes,12,ATL,44.0,38.0,2.0,27.1,6-6,215.0,82.0,242.1,37.6,81.0,0.464,8.6,23.2,0.371,29.0,57.8,0.501,14.1,19.7,0.715,9.2,31.6,40.9,24.5,8.1,4.5,14.9,18.0,98.0
2011-12,NBA,104.9,101.2,Yes,13,ATL,40.0,26.0,2.0,27.9,6-7,215.0,66.0,244.9,36.8,81.0,0.454,7.5,20.2,0.37,29.3,60.9,0.482,15.5,21.0,0.74,9.9,31.3,41.2,22.4,8.1,4.6,14.0,17.8,96.6
2010-11,NBA,106.1,107.0,Yes,14,ATL,44.0,38.0,3.0,27.4,6-7,219.0,82.0,240.6,36.2,78.4,0.462,6.1,17.4,0.352,30.1,61.0,0.494,16.4,21.1,0.779,9.3,30.0,39.3,22.0,6.1,4.2,13.6,19.0,95.0
2009-10,NBA,111.9,106.7,Yes,15,ATL,53.0,29.0,2.0,26.5,6-7,219.0,82.0,242.1,38.8,82.9,0.468,6.4,17.7,0.36,32.4,65.2,0.497,17.7,23.3,0.759,11.8,29.9,41.7,21.8,7.2,5.0,12.0,19.9,101.7
2008-09,NBA,109.3,107.6,Yes,16,ATL,47.0,35.0,2.0,25.8,6-6,219.0,82.0,240.3,36.0,78.7,0.458,7.3,19.9,0.366,28.8,58.8,0.49,18.7,25.4,0.737,10.6,29.4,40.0,20.2,7.4,4.6,12.8,19.6,98.1
2007-08,NBA,106.9,108.9,Yes,17,ATL,37.0,45.0,3.0,24.2,6-7,220.0,82.0,242.1,36.3,79.9,0.454,4.7,13.1,0.356,31.6,66.8,0.473,21.0,27.2,0.772,12.3,29.9,42.2,22.0,7.3,5.5,14.9,20.4,98.2
2006-07,NBA,103.0,108.3,No,18,ATL,30.0,52.0,5.0,24.1,6-7,216.0,82.0,242.4,34.5,77.7,0.444,4.2,12.7,0.329,30.4,65.0,0.467,20.5,26.9,0.761,11.9,28.2,40.1,19.2,7.4,5.4,15.9,24.0,93.7
2005-06,NBA,106.4,111.6,No,19,ATL,26.0,56.0,5.0,22.7,6-7,221.0,82.0,242.4,35.9,79.2,0.454,5.2,14.1,0.367,30.8,65.1,0.472,20.2,26.9,0.75,13.0,27.2,40.3,19.8,7.2,4.8,15.7,25.0,97.2
2004-05,NBA,100.6,111.1,No,20,ATL,13.0,69.0,5.0,26.0,6-7,220.0,82.0,242.1,35.9,81.4,0.441,3.7,11.9,0.312,32.2,69.5,0.463,17.3,24.3,0.711,13.4,28.5,41.9,19.7,7.7,4.2,16.1,24.5,92.7
